text,emotion
['TV per Badi baten vah Karte The Lekin'],Sad
['mera bhai'],Sad
['Ke Main Ek'],Sad
['952 Khandan Ki Halat hoti hai ab 34'],Sad
['Dil Ke Sudhar Bankar Aaye APS kam'],Sad
['main Rock ke liye baat ki mein pahunch ke liye Khada hua'],Sad
['Baki Mein Fauj ki likha hua main'],Sad
['Meri Kya Kiya Uske bad'],Sad
['Mein Pakistan ke Wali Se'],Sad
['Holi Mein Jawab de raha hun'],Sad
['bus mam Pakistan'],Sad
"[""that's all""]",Sad
['mujhe pata nahin'],Sad
['paisa to karunga'],Sad
['yaar aap donon To Mere'],Sad
['vaise hi'],Sad
['Mesa'],Sad
['aap se Guzarish Karunga Kyunki Unki a Rahe'],Sad
['Amjad Sabri sahab ke Ghar Se'],Sad
['Pakistan comes first hai na'],Sad
['Unki taji Rohtak CNG price'],Sad
['Unchi Bassi Punjab'],Sad
['bus aap se request Karunga ki vah'],Sad
['sabse pahle'],Sad
['kya Kahate Hain'],Sad
['bhabhi ke dudh Nahin'],Sad
['I Hogi bacche'],Sad
['Mai mein kya Poochho Mujhe'],Sad
['comes first Hai Na Tu'],Sad
['Socha Hai raat ko aap ko dhanagar Kamre Mein'],Sad
['Chhod Diya Jaaye'],Sad
['bahut Achcha Shuru hua message koi nahin hua'],Sad
['Mujhe kisi ne dabav dala ki aapane'],Sad
['Kuchh Nahin mere main dal chawal'],Sad
['main dal chawal mangenge dal chawal De Diye'],Sad
['Unki Jindagi Ki Koi aukat Nahin Rahi'],Sad
['Kyon Nahin a Rahi'],Sad
['video call'],Sad
['Kaliya Ki Aarti Bihari'],Sad
['Mujhe dopahar Ko Inko Aaj'],Sad
['firing Karke'],Sad
['abhi kar diya kya Shahid ka'],Sad
['Nahin karne ko taiyar'],Sad
['UK machinery to Fir'],Sad
['kya kar rahi hai ki vahan dialogue'],Sad
['kahan gaye log Amritsar'],Sad
['your celebrities'],Sad
['chalo theek hai vah to afford karte hain Se Bahar jakar'],Sad
['Nahin Rahana chahie'],Sad
['good morning ko Apne Malik Se Bahar'],Sad
['Swati'],Sad
['555'],Sad
['Police Academy'],Sad
['Kyon marega Meri samajh'],Sad
['Aisa Salam Leke Ghum rahe hain aur'],Sad
['Abhi Tak Nahin a Raha'],Sad
['Har Bande se Hans ke bad'],Sad
['Har Bande Se Pyar Se'],Sad
['Karta Tha Main Kabhi'],Sad
['Thoda Karke Maine Suna kisi ke sath'],Sad
['Aate Hain'],Sad
['Kitna Mukaddar'],Sad
['school ki'],Sad
['Meri samajh se bahar hai'],Sad
['Karachi mein'],Sad
['isko Dil Jara Utha rahe hain'],Sad
['Hukumat aur police'],Sad
['school ja raha hai Mar rahe hain'],Sad
['kya kar raha hai jinko'],Sad
['hukmaran bolate Hain'],Sad
['ghoom rahe hain jinko chalao'],Sad
['Pawan ji kaise hain aap log hi chahie'],Sad
['Aam RO hi gai'],Sad
['ek hi Sadak'],Sad
['Marathi Jahan Hamara'],Sad
['Hukumat Mein Vakya Hote Rahe'],Sad
['kya kya kiske kahan the'],Sad
['Ek Raat Taluka'],Sad
['isase pahle aap Jante the unko'],Sad
['aise kaise kam padh kar rahe the'],Sad
['TV per Badi baten vah Karte The Lekin'],Sad
['mera bhai'],Sad
['Ke Main Ek'],Sad
['952 Khandan Ki Halat hoti hai ab 34'],Sad
['Dil Ke Sudhar Bankar Aaye APS kam'],Sad
['main Rock ke liye baat ki mein pahunch ke liye Khada hua'],Sad
['Baki Mein Fauj ki likha hua main'],Sad
['Meri Kya Kiya Uske bad'],Sad
['Mein Pakistan ke Wali Se'],Sad
['Holi Mein Jawab de raha hun'],Sad
['bus mam Pakistan'],Sad
"[""that's all""]",Sad
['mujhe pata nahin'],Sad
['paisa to karunga'],Sad
['yaar aap donon To Mere'],Sad
['vaise hi'],Sad
['Mesa'],Sad
['aap se Guzarish Karunga Kyunki Unki a Rahe'],Sad
['Amjad Sabri sahab ke Ghar Se'],Sad
['Pakistan comes first hai na'],Sad
['Unki taji Rohtak CNG price'],Sad
['Unchi Bassi Punjab'],Sad
['bus aap se request Karunga ki vah'],Sad
['sabse pahle'],Sad
['kya Kahate Hain'],Sad
['bhabhi ke dudh Nahin'],Sad
['I Hogi bacche'],Sad
['Mai mein kya Poochho Mujhe'],Sad
['comes first Hai Na Tu'],Sad
['Socha Hai raat ko aap ko dhanagar Kamre Mein'],Sad
['Chhod Diya Jaaye'],Sad
['bahut Achcha Shuru hua message koi nahin hua'],Sad
['Mujhe kisi ne dabav dala ki aapane'],Sad
['Kuchh Nahin mere main dal chawal'],Sad
['main dal chawal mangenge dal chawal De Diye'],Sad
['Unki Jindagi Ki Koi aukat Nahin Rahi'],Sad
['Kyon Nahin a Rahi'],Sad
['video call'],Sad
['Kaliya Ki Aarti Bihari'],Sad
['Mujhe dopahar Ko Inko Aaj'],Sad
['firing Karke'],Sad
['abhi kar diya kya Shahid ka'],Sad
['Nahin karne ko taiyar'],Sad
['UK machinery to Fir'],Sad
['kya kar rahi hai ki vahan dialogue'],Sad
['kahan gaye log Amritsar'],Sad
['your celebrities'],Sad
['chalo theek hai vah to afford karte hain Se Bahar jakar'],Sad
['Nahin Rahana chahie'],Sad
['good morning ko Apne Malik Se Bahar'],Sad
['Swati'],Sad
['555'],Sad
['Police Academy'],Sad
['Kyon marega Meri samajh'],Sad
['Aisa Salam Leke Ghum rahe hain aur'],Sad
['Abhi Tak Nahin a Raha'],Sad
['Har Bande se Hans ke bad'],Sad
['Har Bande Se Pyar Se'],Sad
['Karta Tha Main Kabhi'],Sad
['Thoda Karke Maine Suna kisi ke sath'],Sad
['Aate Hain'],Sad
['Kitna Mukaddar'],Sad
['school ki'],Sad
['Meri samajh se bahar hai'],Sad
['Karachi mein'],Sad
['isko Dil Jara Utha rahe hain'],Sad
['Hukumat aur police'],Sad
['school ja raha hai Mar rahe hain'],Sad
['kya kar raha hai jinko'],Sad
['hukmaran bolate Hain'],Sad
['ghoom rahe hain jinko chalao'],Sad
['Pawan ji kaise hain aap log hi chahie'],Sad
['Aam RO hi gai'],Sad
['ek hi Sadak'],Sad
['Marathi Jahan Hamara'],Sad
['Hukumat Mein Vakya Hote Rahe'],Sad
['makeup'],Sad
['this this cannot happen'],Sad
['Dar lag raha hai yaar'],Sad
['Ho Gaya usne Kaha'],Sad
['Churu Se Ki Hai'],Neutral
['kam kis shasak ki koi Development ki hai'],Neutral
['Mashallah Jo'],Neutral
['Rakesh blue cotton ke sath ho raha hai vah Bhi Bada Hai'],Neutral
['theek hai hadse to'],Neutral
['Hamari election se pahle bhi Yahi Tha'],Neutral
['30 40 TK ki'],Neutral
['dur hai'],Neutral
['pura hone se'],Neutral
['abhi hote hain alag bhi Hote'],Neutral
['Lekin'],Neutral
['Ki Hai Aur Bhi Karenge'],Neutral
['recipe Bade bhaiyon Sakte'],Neutral
['309 mein'],Neutral
['to Karun to aapko Marna Pade'],Neutral
['Tarun'],Neutral
['1 case Supreme Court'],Neutral
['dusra Election Commission Mein Aapki petition hai'],Neutral
['Mai sirf'],Neutral
['bhavishyati AC political worker'],Neutral
['theek hai hadse to'],Neutral
['Hamari election se pahle bhi Yahi Tha'],Neutral
['30 40 TK ki'],Neutral
['dur hai'],Neutral
['pura hone se'],Neutral
['abhi hote hain alag bhi Hote'],Neutral
['Lekin'],Neutral
['Ki Hai Aur Bhi Karenge'],Neutral
['recipe Bade bhaiyon Sakte'],Neutral
['309 mein'],Neutral
['to Karun to aapko Marna Pade'],Neutral
['Tarun'],Neutral
['1 case Supreme Court'],Neutral
['dusra Election Commission Mein Aapki petition hai'],Neutral
['Mai sirf'],Neutral
['bhavishyati AC political worker'],Neutral
['ke mobile Nokia'],Neutral
['aapka'],Neutral
['Rudra kalakar Kaun Hai Jo Kapoor'],Neutral
['kar raha hai aur Bhatija ko hi mobile ki'],Neutral
['Bheem ke bare mein tu Kaha Gaya'],Neutral
['Tumhare Liye send kar diya Gaya yah Jindagi Barbad hi Musalman'],Neutral
['Kuran hai'],Neutral
['Baki Nation state modern Duniya Hai'],Neutral
['pakde Gaye Udhar Raha'],Neutral
['Rishabh International'],Neutral
['ab Aaya Hai'],Neutral
['Jo log'],Neutral
['Sare Har best Mal Karke saare'],Neutral
['ja raha hai'],Neutral
['police ka istemal Kiya Ja Raha Lu Kota Rajasthan'],Neutral
['Ka Hal BA'],Neutral
['Cake ka prime minister Jo Kitty'],Neutral
['Uttara'],Neutral
['Ek Bar Mein Aakar'],Neutral
['Mughal-e-Azam'],Neutral
['do jhumariya Kendra Prime Minister'],Neutral
['Naam Aaye The to kya David Cameron case law'],Neutral
['captain ke paise liye'],Neutral
['Dulha Sa 2005'],Neutral
['na Karne Ka Faisla Kiya which means'],Neutral
['government Ne Supreme Court mein apni talashi'],Neutral
['iski beti ki do companies interest'],Neutral
['Bhutiya Panama ke andar'],Neutral
['fayda Dena Jab nivasi Apne'],Neutral
['2016 may 2012'],Neutral
['in case of Hotel Panama mein'],Neutral
['2006 ki Company wiki'],Neutral
['rupaye ki property sthit'],Neutral
['Mere Pyar Mein'],Neutral
['Arbor private property Bali'],Neutral
['zoonotic ladkiyan noise ke pass gujariya mein'],Neutral
['aur Saal Pehle Se'],Neutral
['American please reject ke 2006 ke ab'],Neutral
['sorry'],Neutral
['pahle 12 sal ke dar'],Neutral
['Diya aur 6ep aur rahe the'],Neutral
['ko pakadna chahie tha'],Neutral
['public accounts committee mein jakar kaha ki Hamare'],Neutral
['Hamara to is it cute'],Neutral
['impression Karan Awaaz likho'],Neutral
['Dinakaran Ke Logo'],Neutral
['reply na by Prime Minister resign kiya na'],Neutral
['bikini Mohammed 9'],Neutral
['77 between courier details Kyon hui thi'],Neutral
['election Mein Dandi Na Ho'],Neutral
['1 se 30 factory Mein Banai thi'],Neutral
['Tu Jo Mujhe Dhire Na Hoti'],Neutral
['samajhta hun'],Neutral
['Prime Minister corruption Mein Pakda Gaya'],Neutral
['mirror polish ji hai ki'],Neutral
['yah Kahana'],Neutral
['aap Chori Karte Hain'],Neutral
['aapka Sara Khandan laga hua Chori karne ke liye'],Neutral
['chote chote bache Islamic'],Neutral
['kshma Karta Hai vah Bahar Jata to beti baith Jaati Hai'],Neutral
['Mr Chhota bhai'],Neutral
['ladke apne aap ko fayde'],Neutral
['Bhar Jata to vah Hamza Sharif Bacha Tha'],Neutral
['Yeh Dooriyan'],Neutral
['Rajasthan ki challani hai aur aap Hamen Kya Kiya'],Neutral
['chup Karke Jo Gulam banaa rahe hain'],Neutral
['Mujhe gulami Qabool Nahin Hai Mein'],Neutral
['captain KA 20 Sal se Mein Aaya kya'],Neutral
['Munh ka sabse bada corruption hai'],Neutral
['movie Poramon'],Neutral
['jahaj Karte Hain Jo jhuriyan Hamen Hath Deti Hai'],Neutral
['nationalised bank se loan chahie'],Neutral
['Johny ke no khod Logon ki'],Neutral
['giraffe'],Neutral
['yah Asal mein'],Neutral
['sorry kam Ko Pata Tha ki kara per'],Neutral
['Inki Pakda'],Neutral
['Chhod De'],Happy
['Ek Hi to'],Happy
['hota hai ki yaar wale se mujhe'],Happy
['camera'],Happy
['top'],Happy
['lambi breaking Thi ab mein tha ki bol bol ke Kale'],Happy
['aap uncle Khaas rahiye'],Happy
['Urdu'],Happy
['bilkul Nahin khaungi Ki Jo Bhi Sun'],Happy
['Mohammad Amir'],Happy
['package Khatam hua'],Happy
['kya Kabhi Aisa vajah Se Badi'],Happy
['music Baj raha hai breaking news'],Happy
['Mishra Hari per call'],Happy
['yah kahati hai ki tum bhi nahin a Rahi'],Happy
['bahut lambi breaking Thi Ab Tak'],Happy
['Kale Badal Chha rahe hain'],Happy
['Amma se siyasi discussion'],Happy
['Hua Ki Nahin'],Happy
['Chhod Diya'],Happy
['Roshani Khati ho jayegi'],Happy
['kitchen ke bacche'],Happy
['subah subah 7 baje ke Bhag'],Happy
['Meri Zindagi tabah Ho Jaaye'],Happy
['Ashok Aane Lagi'],Happy
['kya karun'],Happy
['pata nahin'],Happy
['Ashok ke mood mein hai ki nahin aap'],Happy
['Hamare kitchen ke bacche'],Happy
['ladke ladke'],Happy
['Si Mein Honge Kabhi Apne'],Happy
['Mayur Hotel per Mera Dubai'],Happy
['aapko Pata Hai Mujhe'],Happy
['Mayur Hotel per Mera Dubai'],Happy
['aapko Pata Hai Mujhe'],Happy
['Mujhe to'],Happy
['bhikharipur Kalpi'],Happy
['Kaise chalegi'],Happy
['band ho jayegi'],Happy
['unke Liye'],Happy
['kar rahe hain Ki Chhori kar pata'],Happy
['Hoga Ki Jo'],Happy
['Ek Logon ke huqooq ke liye Khada usko girftar'],Happy
['Agar'],Happy
['Simon Commission'],Happy
['yah bataiye ki'],Happy
['morning show'],Happy
['hard core political'],Happy
['Simon Commission'],Happy
['Abacus'],Happy
['lipsing'],Happy
['mai apne thinktank se baat kar to aap apne the'],Happy
['aur'],Happy
['bahut hi Jaruri'],Happy
['to vah sab theek hai'],Happy
['presentation ki'],Happy
['Mashallah'],Happy
['jitni meri ammi Ne hai'],Happy
['all'],Happy
['usko'],Happy
['Pareshan Hote Jo jaane Wale Hain Na vah'],Happy
['Bade naraj ho kya to maine poochha tha Kaun'],Happy
['Karachi'],Happy
['Baat Nahin'],Happy
['Meri Kahani Hai'],Happy
['Jism 2'],Happy
['kahan se chairman Hamara delegation'],Happy
['Sudha ji ka Jabardast'],Happy
['Farooq bhai Mujhe Kahate Hain bhai'],Happy
['Kyunki'],Happy
['Meri Biwi Katori Baton Mein kis din'],Happy
['Maine Pehle Jo meeting with Imran ko bola'],Happy
